"USD #","District","County","Year","Students (FTE)","Classroom Teachers (CT)","Other Teachers","Managers","Other Non-Teachers","Total Employed","FTE Per CT","FTE Per Mgr"
"298","Lincoln","Lincoln","2021","317","30.09999931","0","6.9","22.10000004","59.09999934","10.5315617","45.94202899"
"381","Spearville","Ford","2021","314.5","28","2.400000095","6","14","50.4000001","11.23214286","52.41666667"
"350","St John-Hudson","Stafford","2021","309.5","31","2","4.2","41.6","78.8","9.983870968","73.69047619"
"429","Troy","Doniphan","2021","309.7","25.5","1","4","23.5","54","12.14509804","77.425"
"293","Quinter","Gove","2021","302.3","29","0","2","20.1","51.1","10.42413793","151.15"
"419","Canton-Galva","McPherson","2021","295.2","28","6.400000095","6","19.5","59.9000001","10.54285714","49.2"
"111","Doniphan West","Doniphan","2021","293.5","30","4","5","48","87","9.783333333","58.7"
"227","Hodgeman County","Hodgeman","2021","293.5","25.5","0","4","20.3","49.8","11.50980392","73.375"
"272","Waconda","Mitchell","2021","292.2","23.70000076","0","3.2","20.9","47.80000076","12.32911353","91.3125"
"224","Clifton-Clyde","Washington","2021","291.8","29.00000072","0","4","21.1","54.10000072","10.06206872","72.95"
"311","Pretty Prairie","Reno","2021","290.1","25.10000038","0","6","22.8","53.90000038","11.55776875","48.35"
"322","Onaga-Havensville-Wheaton","Pottawatomie","2021","290.5","25","1","3.9","19.8","49.7","11.62","74.48717949"
"392","Osborne County","Osborne","2021","289.9","28.5","0","4","17.5","50","10.17192982","72.475"
"300","Comanche County","Comanche","2021","286.5","25.09999847","1","6.7","23.4","56.19999847","11.41434332","42.76119403"
"462","Central","Cowley","2021","284","24.40000153","0","8.100000024","19.3","51.80000155","11.63934353","35.06172829"
"411","Goessel","Marion","2021","283.5","23.00000077","1","7","24.80000001","55.80000079","12.32608654","40.5"
"303","Ness City","Ness","2021","279.3","24.99999952","6","3.09999994","18.50000001","52.59999947","11.17200021","90.09677593"
"347","Kinsley-Offerle","Edwards","2021","272.5","22","1","7.200000024","21","51.20000002","12.38636364","37.8472221"
"432","Victoria","Ellis","2021","272.3","24.20000076","0","3.5","15.79999998","43.50000075","11.25206576","77.8"
"444","Little River","Rice","2021","271.5","26","0","4","16.90000002","46.90000002","10.44230769","67.875"
"395","LaCrosse","Rush","2021","270.5","24","1","4.19999994","13.5","42.69999994","11.27083333","64.40476282"
"454","Burlingame","Osage","2021","270.5","22.20000041","0","5.799999952","15.9","43.90000036","12.18468446","46.63793142"
"297","St Francis","Cheyenne","2021","269.5","26","2","4.799999952","17.2","49.99999996","10.36538462","56.14583389"
"492","Flinthills","Butler","2021","269.8","21.89999962","2","4.9","17.8","46.59999962","12.31963492","55.06122449"
"310","Fairfield","Reno","2021","264.6","28.79999924","0","8","24.5","61.29999924","9.187500243","33.075"
"349","Stafford","Stafford","2021","259","22.5","1","6.5","15","45","11.51111111","39.84615385"
"481","Rural Vista","Dickinson","2021","258.5","33","0","4.5","14.3","51.8","7.833333333","57.44444444"
"219","Minneola","Clark","2021","248.2","20.29999924","0","3","18.60000005","41.89999928","12.22660144","82.73333333"
"507","Satanta","Haskell","2021","246.5","25","0","7","27.5","59.5","9.86","35.21428571"
"200","Greeley County","Greeley","2021","238.6","22.10000038","0","5.49999994","18","45.60000032","10.7963799","43.38181865"
