"Year","# Positions","Total Salary","% Increase YoY"
"2014","11","$1,312,803.00","0.00%"
"2015","12","$1,423,181.00","8.41%"
"2016","12","$1,443,212.00","1.41%"
"2017","13","$1,620,450.00","12.28%"
"2018","13","$1,617,211.00","-0.20%"
"2019","15","$1,902,640.00","17.65%"
"2020","16","$2,052,310.00","7.87%"
"2021","17","$2,220,952.00","8.22%"
