"Year","# Positions","Total Salary","% Increase YoY"
"2014","10","$1,180,270.00","0.00%"
"2015","10","$1,199,475.00","1.63%"
"2016","10","$1,221,308.00","1.82%"
"2017","10","$1,254,662.00","2.73%"
"2018","14","$1,748,044.00","39.32%"
"2019","17","$2,152,573.00","23.14%"
"2020","20","$2,444,346.00","13.55%"
"2021","19","$2,411,328.00","-1.35%"
